MSE,MAE,R2
9.603218274966059,2.5378405322713244,-1.7626615262056333e-05
9.130189819368848,2.471839845174856,0.04924052621886976
8.589485900012322,2.3763683237484883,0.1055459682753136
6.410284190349196,1.9078256521376782,0.3324740729185398
3.009492255880016,1.3676807995169686,0.6866107572617075
3.013433952659798,1.368512247828748,0.6862002942121661
3.05260147843489,1.3790980343103747,0.6821216390109088
4.417710279659768,1.664543548617048,0.5399679542372142
9.701328593335816,2.5187783255975678,-0.010234206610986174
8.963567428009396,2.358948380840412,0.06659151456228818
